title,brand,category,actual_price,discount_price,rating,rating_count,discount_percent,price_category,popularity_score,revenue_potential
Smart Fitness Watch,Dell,Laptop,545.32,65271.0,2.6,3389,-11869.302427932222,Midrange,21.134321520973693,1848089.4800000002
Laptop with SSD Storage,LG,Smartwatch,644.53,63977.0,2.5,2110,-9826.147735559245,Midrange,19.1372926196208,1359958.3
High Resolution Monitor,Mi,Headphones,707.67,39679.0,1.9,2423,-5506.991959529159,Midrange,14.807031259659489,1714684.41
4K Action Camera,HP,Camera,368.09,58877.0,3.7,226,-15895.272895215845,Budget,20.07231506468119,83188.34
Smart Fitness Watch,Samsung,Monitor,497.63,45017.0,4.9,3171,-8946.279364186243,Budget,39.50437615549823,1577984.73
Gaming Laptop,Mi,Smartwatch,309.05,12349.0,1.7,2678,-3895.793560912474,Budget,13.418438078225835,827635.9
Smartphone with AMOLED Display,OnePlus,Laptop,569.5,5451.0,3.4,4677,-857.1553994732221,Midrange,28.73212822029002,2663551.5
Smart Fitness Watch,Sony,Laptop,495.95,56399.0,2.7,2263,-11271.912491178547,Budget,20.8571987861723,1122334.8499999999
High Resolution Monitor,Boat,Monitor,974.52,39232.0,2.8,1593,-3925.7767926774213,Midrange,20.64720520618045,1552410.3599999999
4K Action Camera,Dell,Speaker,414.71,16733.0,2.0,342,-3934.867738901884,Budget,11.675460894331879,141830.82
Laptop with SSD Storage,LG,Tablet,552.14,33839.0,4.3,1169,-6028.6992429456295,Midrange,30.37846381950475,645451.66
High Resolution Monitor,Dell,Headphones,417.54,18844.0,2.9,783,-4413.100541265507,Budget,19.32678615901618,326933.82
High Resolution Monitor,Mi,Laptop,407.99,13852.0,3.2,3198,-3295.181254442511,Budget,25.82589932783846,1304752.02
Smartphone with AMOLED Display,Boat,Smartphone,315.48,30571.0,2.2,4796,-9590.313173576771,Budget,18.64664120330454,1513042.08
Portable Bluetooth Speaker,OnePlus,Camera,279.83,24050.0,1.7,4171,-8494.503805882143,Budget,14.171456387405126,1167170.93
